stage,approach,frozen_layers_pct,frozen_layers_count,data_format,accuracy,f1,training_time_s,trainable_params,total_params,device
freeze_layers,freeze_80,80,9,fp32,0.7622549019607843,0.8432956381260097,21.73464274406433,45692930,109483778,cuda
freeze_layers,freeze_80,80,9,fp16,0.7745098039215687,0.8496732026143791,24.47629714012146,45692930,109483778,cuda
freeze_layers,freeze_50,50,6,fp32,0.8014705882352942,0.8610634648370498,24.713326930999756,66956546,109483778,cuda
freeze_layers,freeze_50,50,6,fp16,0.8235294117647058,0.8787878787878788,27.994956016540527,66956546,109483778,cuda
freeze_layers,freeze_20,20,2,fp32,0.8651960784313726,0.9040139616055847,28.4212327003479,95308034,109483778,cuda
freeze_layers,freeze_20,20,2,fp16,0.8725490196078431,0.9097222222222222,31.535674571990967,95308034,109483778,cuda
freeze_layers,freeze_0,0,0,fp32,0.8504901960784313,0.8931698774080561,30.412740230560303,109483778,109483778,cuda
freeze_layers,freeze_0,0,0,fp16,0.8235294117647058,0.8767123287671232,33.89560127258301,109483778,109483778,cuda
